site_id,site_name,pre_treated,pre_control,early_post_treated,early_post_control,late_post_treated,late_post_control
HR001,Tenderloin Wellness Hub,1.025,0.08333333333333333,1.2888888888888888,0.0,1.094444444444444,0.5277777777777778
HR002,SoMa Syringe Services,0.893939393939394,0.8333333333333334,1.5353535353535355,0.5555555555555556,1.0454545454545454,0.2777777777777778
HR003,Mission District SSP,0.28125,0.47222222222222215,0.4166666666666667,0.8148148148148148,0.3888888888888889,0.24074074074074078
HR004,Bayview Naloxone Access Point,0.11904761904761903,0.22916666666666666,0.30158730158730157,0.2777777777777778,0.15873015873015872,0.25
